Release.date,Release.time,Release.site,Serial.nr,Signal,Group,Total.Length.cm,Latitude,Longitude
9/3/22,10:06,Mutiaur,1364454,51651,Lethrinus olivaceus,43,7.27538,134.18507
9/7/22,17:26,Mutiaur,1364453,51650,Lethrinus olivaceus,56,7.27549,134.18787
11/02/22,18:30,Mutiaur,1364452,51649,Lethrinus olivaceus,62,7.27568,134.78617
4/17/23,19:35,Mutiaur,1556489,7270,Lethrinus olivaceus,54,7.27431,134.187968
4/17/23,20:10,Mutiaur,1556488,7269,Lethrinus olivaceus,52.5,7.27431,134.187968
4/18/23,18:36,Mutiaur,1556487,7268,Lethrinus olivaceus,54.5,7.274327,134.187017
4/18/23,18:55,Mutiaur,1556486,7267,Lethrinus olivaceus,56,7.274327,134.187017
4/18/23,20:05,Mutiaur,1556485,7266,Lethrinus olivaceus,51.5,7.274185,134.187676
4/20/23,18:45,Mutiaur,1556505,7286,Lethrinus olivaceus,55,7.275002,134.186686
4/20/23,19:40,Mutiaur,1556492,7273,Lethrinus olivaceus,60,7.274914,134.187073
4/20/23,19:45,Mutiaur,1556494,7275,Lethrinus olivaceus,55,7.274914,134.187073
4/21/23,18:16,Mutiaur,1556493,7274,Lethrinus olivaceus,55.5,7.275046,134.186994
4/22/23,20:39,Mutiaur,1556491,7272,Lethrinus olivaceus,55,7.274943,134.187139
4/23/23,20:48,Mutiaur,1556490,7271,Lethrinus olivaceus,58,7.275334,134.187743
9/4/22,11:08,Mutiaur,1364447,51644,Lutjanus bohar,48,7.27574,134.18658
9/6/22,12:15,Mutiaur,1393357,60855,Lutjanus bohar,69,7.27538,134.18623
9/7/22,18:02,Mutiaur,1393358,60856,Lutjanus bohar,53,7.27604,134.18633
9/7/22,18:15,Mutiaur,1393361,60859,Lutjanus bohar,66,7.27598,134.1864
9/7/22,19:03,Mutiaur,1393366,60864,Lutjanus bohar,41,7.7.27591,134.18674
9/7/22,19:09,Mutiaur,1393362,60860,Lutjanus bohar,48,7.27599,134.18675
9/7/22,19:12,Mutiaur,1393363,60861,Lutjanus bohar,44.5,7.27599,134.18675
9/7/22,19:40,Mutiaur,1393364,60862,Lutjanus bohar,49,7.27599,134.18675
9/7/22,19:48,Mutiaur,1393359,60857,Lutjanus bohar,47,7.27599,134.18675
9/7/22,19:51,Mutiaur,1393360,60858,Lutjanus bohar,46,7.27599,134.18675
9/9/22,14:05,Siaes corner,1379016,46647,Lutjanus bohar,53,7.31489,134.22025
9/9/22,19:15,Ulong channel,1379023,46654,Lutjanus bohar,54,7.27557,134.24438
11/02/22,17:53,Mutiaur,1393365,60863,Lutjanus bohar,56,7.27575,134.18617
11/02/22,17:59,Mutiaur,1379018,46649,Lutjanus bohar,48,7.27579,134.18622
11/02/22,18:05,Mutiaur,1379019,46650,Lutjanus bohar,52,7.27579,134.18623
11/03/22,17:05,Mutiaur,1379015,46646,Lutjanus bohar,57,7.276,134.18607
11/03/22,17:10,Mutiaur,1379021,46652,Lutjanus bohar,50,7.276,134.18607
11/03/22,17:50,Mutiaur,1379022,46653,Lutjanus bohar,57.5,7.27607,134.18607
11/03/22,17:59,Mutiaur,1379017,46648,Lutjanus bohar,46,7.27607,134.18607
11/03/22,18:13,Mutiaur,1379024,46655,Lutjanus bohar,67,7.27607,134.18607
11/03/22,18:27,Mutiaur,1379020,46651,Lutjanus bohar,54,7.27607,134.18607
11/03/22,18:40,Mutiaur,1364450,51647,Lutjanus bohar,56,7.27607,134.18607
11/03/22,18:45,Mutiaur,1364448,51645,Lutjanus bohar,58,7.27607,134.18607
11/03/22,18:50,Mutiaur,1364445,51642,Lutjanus bohar,53,7.27607,134.18607
11/03/22,18:53,Mutiaur,1364451,51648,Lutjanus bohar,49,7.27607,134.18607
