Tag_Date_Local,Tag_Time_Local,Tag_ID,Serial_Number,Tag_Group,Species,FL,Tag_Location,Latitude,Longitude,
2009/03/22,10:06,51651,1364454,Alan V13,Lethrinus olivaceus,43,Mutiaur,7.27538,134.18507,
2009/07/22,17:26,51650,1364453,Alan V13,Lethrinus olivaceus,56,Mutiaur,7.27549,134.18787,
2011/02/22,18:30,51649,1364452,Alan V13,Lethrinus olivaceus,62,Mutiaur,7.27568,134.78617,
2011/03/22,19:32,5958,1312436,Alex V13TP,Lutjanus bohar,51,Mutiaur,7.27607,134.18607,
2011/03/22,19:50,5960,1312437,Alex V13TP,Lutjanus bohar,49,Mutiaur,7.27607,134.18607,
2011/03/22,19:45,5970,1312442,Alex V13TP,Lutjanus bohar,55,Mutiaur,7.27607,134.18607,
2011/03/22,19:05,14010,1312395,Alex V13,Lutjanus bohar,50,Mutiaur,7.27607,134.18607,
2011/03/22,19:06,14011,1312396,Alex V13,Lutjanus bohar,51,Mutiaur,7.27607,134.18607,
2011/03/22,19:28,14020,1312405,Alex V13,Lutjanus bohar,50,Mutiaur,7.27607,134.18607,
2011/03/22,19:40,14021,1312406,Alex V13,Lutjanus bohar,45,Mutiaur,7.27607,134.18607,
2011/03/22,19:16,14026,1312411,Alex V13,Lutjanus bohar,47.5,Mutiaur,7.27607,134.18607,
2011/03/22,19:15,14047,1312432,Alex V13,Lutjanus bohar,48,Mutiaur,7.27607,134.18607,
2011/03/22,17:05,46646,1379015,new V13,Lutjanus bohar,57,Mutiaur,7.276,134.18607,
2009/09/22,14:05,46647,1379016,new V13,Lutjanus bohar,53,Siaes corner,7.31489,134.22025,
2011/03/22,17:59,46648,1379017,new V13,Lutjanus bohar,46,Mutiaur,7.27607,134.18607,
2011/02/22,17:59,46649,1379018,new V13,Lutjanus bohar,48,Mutiaur,7.27579,134.18622,
2011/02/22,18:05,46650,1379019,new V13,Lutjanus bohar,52,Mutiaur,7.27579,134.18623,
2011/03/22,18:27,46651,1379020,new V13,Lutjanus bohar,54,Mutiaur,7.27607,134.18607,
2011/03/22,17:10,46652,1379021,new V13,Lutjanus bohar,50,Mutiaur,7.276,134.18607,
2011/03/22,17:50,46653,1379022,new V13,Lutjanus bohar,57.5,Mutiaur,7.27607,134.18607,
2009/09/22,19:15,46654,1379023,new V13,Lutjanus bohar,54,Ulong,7.27557,134.24438,
2011/03/22,18:13,46655,1379024,new V13,Lutjanus bohar,67,Mutiaur,7.27607,134.18607,
2011/03/22,18:50,51642,1364445,Alan V13,Lutjanus bohar,53,Mutiaur,7.27607,134.18607,
2011/03/22,18:55,51643,1364446,Alan V13,Lutjanus bohar,50,Mutiaur,7.27607,134.18607,
2009/04/22,11:08,51644,1364447,Alan V13,Lutjanus bohar,48,Mutiaur,7.27574,134.18658,
2011/03/22,18:45,51645,1364448,Alan V13,Lutjanus bohar,58,Mutiaur,7.27607,134.18607,
2011/03/22,18:59,51646,1364449,Alan V13,Lutjanus bohar,48,Mutiaur,7.27607,134.18607,
2011/03/22,18:40,51647,1364450,Alan V13,Lutjanus bohar,56,Mutiaur,7.27607,134.18607,
2011/03/22,18:53,51648,1364451,Alan V13,Lutjanus bohar,49,Mutiaur,7.27607,134.18607,
2009/06/22,12:15,60855,1393357,new V13,Lutjanus bohar,69,Mutiaur,7.27538,134.18623,
2009/07/22,18:02,60856,1393358,new V13,Lutjanus bohar,53,Mutiaur,7.27604,134.18633,
2009/07/22,19:48,60857,1393359,new V13,Lutjanus bohar,47,Mutiaur,7.27599,134.18675,
2009/07/22,19:51,60858,1393360,new V13,Lutjanus bohar,46,Mutiaur,7.27599,134.18675,
2009/07/22,18:15,60859,1393361,new V13,Lutjanus bohar,66,Mutiaur,7.27598,134.1864,
2009/07/22,19:09,60860,1393362,new V13,Lutjanus bohar,48,Mutiaur,7.27599,134.18675,
2009/07/22,19:12,60861,1393363,new V13,Lutjanus bohar,44.5,Mutiaur,7.27599,134.18675,
2009/07/22,19:40,60862,1393364,new V13,Lutjanus bohar,49,Mutiaur,7.27599,134.18675,
2011/02/22,17:53,60863,1393365,new V13,Lutjanus bohar,56,Mutiaur,7.27575,134.18617,
2009/07/22,19:03,60864,1393366,new V13,Lutjanus bohar,41,Mutiaur,7.7.27591,134.18674,
2009/04/22,10:52,49996,1379011,new V16, Carcharhinus amblyrhynchos,114,Mutiaur,7.27574,134.18658,N
2009/10/22,14:15,49991,1379006,new V16, Carcharhinus amblyrhynchos,130,Mutiaur,7.72546,134.18657,N
2009/10/22,17:30,49993,1379008,new V16, Carcharhinus amblyrhynchos,121,Ulong,7.28293,134.24559,Y
2009/10/22,17:50,63782,1388931,new V16, Carcharhinus amblyrhynchos,118,Ulong,7.28293,134.24559,Y
2009/10/22,17:25,63786,1388935,new V16, Carcharhinus amblyrhynchos,120,Ulong,7.28293,134.24559,Y
2009/10/22,19:15,63788,1388937,new V16, Carcharhinus amblyrhynchos,119,Ulong,7.28293,134.24559,Y
09/14/22,14:15,49994,1379009,new V16, Carcharhinus amblyrhynchos,111,Mutiaur,7.26922,134.1819,
09/14/22,15:22,63784,1388933,new V16, Carcharhinus amblyrhynchos,124,Mutiaur,7.26857,134.18138,
09/16/22,13:14,49998,1379013,new V16, Carcharhinus amblyrhynchos,125,Mutiaur,7.27484,134.18462,
2011/03/22,18:06,49999,1379014,new V16, Carcharhinus amblyrhynchos,122,Mutiaur,7.27607,134.18607,Y
2012/03/22,07:04,49992,1379007,new V16, Carcharhinus amblyrhynchos,128,Mutiaur,7.2753,134.18643,N
2012/03/22,11:17,49995,1379010,new V16, Carcharhinus amblyrhynchos,115,Mutiaur,7.27639,134.19208,
2012/03/22,11:31,49997,1379012,new V16, Carcharhinus amblyrhynchos,112,Mutiaur,7.27693,134.19325,
2012/03/22,07:58,63781,1388930,new V16, Carcharhinus amblyrhynchos,122,Mutiaur,7.2753,134.18643,
2012/03/22,08:11,63789,1388938,new V16, Carcharhinus amblyrhynchos,124,Mutiaur,7.2753,134.18643,
2012/04/22,09:52,63787,1388936,new V16, Carcharhinus amblyrhynchos,118,Siaes corner,7.3205,134.216689,
2012/05/22,15:00,63785,1388934,new V16, Carcharhinus amblyrhynchos,119,Mutiaur,7.27603,134.18616,
