date.local,time.local,tag.ID,serial.num,tag.group,species,FL,sex,location,site,gps.id,Latitude,Longitude,Notes,Surgeon,,
2009-03-22,10:06,51651,1364454,Alan V13,Lethrinus olivaceus,43,,Shark city/Mutiaur,Mutiaur,44,7.27538,134.18507,"Very calm fish, not very enrgetic on release but swam away",Natalie,,
2009-07-22,17:26,51650,1364453,Alan V13,Lethrinus olivaceus,56,,Shark city/Mutiaur,Mutiaur,48,7.27549,134.18787,"Good strong swim, very calm",Christina,,
2011-02-22,18:30,51649,1364452,Alan V13,Lethrinus olivaceus,62,,Shark city/Mutiaur,Mutiaur,483,7.27568,134.78617,"All good, swam away",Louw,,
2011-03-22,19:32,5958,1312436,Alex V13TP,Lutjanus bohar,51,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"All good, big tag - one of these 2 big tags had a red note (transmitting as another ID number) but didn't write it down",Christina,,
2011-03-22,19:50,5960,1312437,Alex V13TP,Lutjanus bohar,49,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Big tag, red note on tag (DNR)",Louw,,
2011-03-22,19:45,5970,1312442,Alex V13TP,Lutjanus bohar,55,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Bleeding a bit, big tag - one of these 2 big tags had a red note (transmitting as another ID number) but didn't write it down",Louw,,
2011-03-22,19:05,14010,1312395,Alex V13,Lutjanus bohar,50,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,,,,
2011-03-22,19:06,14011,1312396,Alex V13,Lutjanus bohar,51,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Fighting a lot, last 5-7 fish caught and placed in a container on board",,,
2011-03-22,19:28,14020,1312405,Alex V13,Lutjanus bohar,50,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,,,,
2011-03-22,19:40,14021,1312406,Alex V13,Lutjanus bohar,45,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"All good, swam away",Louw,,
2011-03-22,19:16,14026,1312411,Alex V13,Lutjanus bohar,47.5,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Was kept in a container before tagging,,,
2011-03-22,19:15,14047,1312432,Alex V13,Lutjanus bohar,48,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Some bleeding,,,
2011-03-22,17:05,46646,1379015,new V13,Lutjanus bohar,57,,Mutiaur sand channel (GPS ID 46),Mutiaur,484,7.276,134.18607,Swam away - video,Christina,,
2009-09-22,14:05,46647,1379016,new V13,Lutjanus bohar,53,,Siaes corner,Siaes,53,7.31489,134.22025,"Strong swim, minimal bleeding",Louw,,
2011-03-22,17:59,46648,1379017,new V13,Lutjanus bohar,46,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Jumped onto floor after surgery but OK, swam off",MQ,,
2011-02-22,17:59,46649,1379018,new V13,Lutjanus bohar,48,,Shark city/Mutiaur,Mutiaur,481,7.27579,134.18622,"All good, swam down",Christina,,
2011-02-22,18:05,46650,1379019,new V13,Lutjanus bohar,52,,Shark city/Mutiaur,Mutiaur,482,7.27579,134.18623,"Some bleeding, swam away",Christina,,
2011-03-22,18:27,46651,1379020,new V13,Lutjanus bohar,54,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Swim bladder visible, bloated",,,
2011-03-22,17:10,46652,1379021,new V13,Lutjanus bohar,50,,Mutiaur sand channel,Mutiaur,484,7.276,134.18607,Swam off,Christina,,
2011-03-22,17:50,46653,1379022,new V13,Lutjanus bohar,57.5,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Some white stuff coming out of incision, swam off",MQ,,
2009-09-22,19:15,46654,1379023,new V13,Lutjanus bohar,54,,Ongingiang (Ulong),Ulong,54,7.27557,134.24438,"bit of blood, very calm, strong swim on release",Natalie,,
2011-03-22,18:13,46655,1379024,new V13,Lutjanus bohar,67,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Some bleeding, swam away",Louw,,
2011-03-22,18:50,51642,1364445,Alan V13,Lutjanus bohar,53,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Took a while to swim down,Christina,,
2011-03-22,18:55,51643,1364446,Alan V13,Lutjanus bohar,50,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Swam away,,,
2009-04-22,11:08,51644,1364447,Alan V13,Lutjanus bohar,48,,Shark city/Mutiaur,Mutiaur,45,7.27574,134.18658,Fish had an previous abdominal wound ,Christina,,
2011-03-22,18:45,51645,1364448,Alan V13,Lutjanus bohar,58,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Swam away,Christina,,
2011-03-22,18:59,51646,1364449,Alan V13,Lutjanus bohar,48,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Bit of bleeding, red note on tag (trans after 2x mag)",,,
2011-03-22,18:40,51647,1364450,Alan V13,Lutjanus bohar,56,,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,Swam away,MQ,,
